attribut,fraction_retirée,n_test,accuracy,f1_macro,mae
dorm,0.1,330,0.6878787878787879,0.6575826841259884,1.4181818181818182
dorm,0.2,660,0.6893939393939394,0.5382784319318774,1.6090909090909091
dorm,0.3,990,0.6535353535353535,0.5651558082205552,1.5888888888888888
major_index,0.1,573,0.3054101221640489,0.08122021466966345,15.270506108202444
major_index,0.2,1147,0.3129904097646033,0.10224863155083894,14.544899738448125
major_index,0.3,1721,0.2905287623474724,0.07754869748055086,15.399767576990122
gender,0.1,599,0.6010016694490818,0.5246994531890664,0.3989983305509182
gender,0.2,1199,0.6030025020850709,0.5230134055427407,0.3969974979149291
gender,0.3,1799,0.6081156197887715,0.5168173594419853,0.39188438021122846
